name,LION
C13:0,LION:0022223
C15:0,LION:0022229
C15:1,LION:0022230
C17:0,LION:0022231
C17:1,LION:0022234
C17:2,LION:0022236
C19:0,LION:0022241
C19:1,LION:0022242
C19:2,LION:0022245
C19:3,LION:0022247
FFA(13:0),LION:0022252
FFA(15:0),LION:0022255
FFA(15:1),LION:0022258
FFA(17:0),LION:0022259
FFA(17:1),LION:0022260
C21:0,LION:0022261
C21:1,LION:0022262
C21:2,LION:0022263
C21:3,LION:0022264
C21:4,LION:0022265
C23:0,LION:0022266
C23:1,LION:0022267
C23:2,LION:0022268
C23:3,LION:0022269
C23:4,LION:0022270
C23:5,LION:0022271
C25:0,LION:0022272
C25:1,LION:0022273
C25:2,LION:0022274
C25:3,LION:0022275
C25:4,LION:0022276
C25:5,LION:0022277
C25:6,LION:0022278
C25:7,LION:0022279
FFA(17:2),LION:0022280
FFA(19:0),LION:0022281
FFA(19:1),LION:0022282
FFA(19:2),LION:0022283
FFA(19:3),LION:0022284
FFA(21:0),LION:0022285
FFA(21:1),LION:0022286
FFA(21:2),LION:0022287
FFA(21:3),LION:0022288
FFA(21:4),LION:0022289
FFA(23:0),LION:0022290
FFA(23:1),LION:0022291
FFA(23:2),LION:0022292
FFA(23:3),LION:0022293
FFA(23:4),LION:0022294
FFA(23:5),LION:0022295
FFA(25:0),LION:0022296
FFA(25:1),LION:0022297
FFA(25:2),LION:0022298
FFA(25:3),LION:0022299
FFA(25:4),LION:0022300
FFA(25:5),LION:0022301
FFA(25:6),LION:0022302
FFA(25:7),LION:0022303
PA(13:0/0:0),LION:0022304
PA(15:0/0:0),LION:0022305
PA(15:1/0:0),LION:0022306
PA(17:0/0:0),LION:0022307
PA(17:1/0:0),LION:0022308
PA(17:2/0:0),LION:0022309
PA(19:0/0:0),LION:0022310
PA(19:1/0:0),LION:0022311
PA(19:2/0:0),LION:0022312
PA(19:3/0:0),LION:0022313
PA(21:0/0:0),LION:0022314
PA(21:1/0:0),LION:0022315
PA(21:2/0:0),LION:0022316
PA(21:3/0:0),LION:0022317
PA(21:4/0:0),LION:0022318
PA(23:0/0:0),LION:0022319
PA(23:1/0:0),LION:0022320
PA(23:2/0:0),LION:0022321
PA(23:3/0:0),LION:0022322
PA(23:4/0:0),LION:0022323
PA(23:5/0:0),LION:0022324
PA(25:0/0:0),LION:0022325
PA(25:1/0:0),LION:0022326
PA(25:2/0:0),LION:0022327
PA(25:3/0:0),LION:0022328
PA(25:4/0:0),LION:0022329
PA(25:5/0:0),LION:0022330
PA(25:6/0:0),LION:0022331
PA(25:7/0:0),LION:0022332
PC(13:0/0:0),LION:0022333
PC(15:0/0:0),LION:0022334
PC(15:1/0:0),LION:0022335
PC(17:0/0:0),LION:0022336
PC(17:1/0:0),LION:0022337
PC(17:2/0:0),LION:0022346
PC(19:0/0:0),LION:0022347
PC(19:1/0:0),LION:0022355
PC(19:2/0:0),LION:0022356
PC(19:3/0:0),LION:0022363
PC(21:0/0:0),LION:0022369
PC(21:1/0:0),LION:0022370
PC(21:2/0:0),LION:0022375
PC(21:3/0:0),LION:0022380
PC(21:4/0:0),LION:0022381
PC(23:0/0:0),LION:0022385
PC(23:1/0:0),LION:0022389
PC(23:2/0:0),LION:0022390
PC(23:3/0:0),LION:0022393
PC(23:4/0:0),LION:0022396
PC(23:5/0:0),LION:0022399
PC(25:0/0:0),LION:0022405
PC(25:1/0:0),LION:0022407
PC(25:2/0:0),LION:0022411
PC(25:3/0:0),LION:0022412
PC(25:4/0:0),LION:0022413
PC(25:5/0:0),LION:0022414
PC(25:6/0:0),LION:0022415
PC(25:7/0:0),LION:0022416
PE(13:0/0:0),LION:0022417
PE(15:0/0:0),LION:0022423
PE(15:1/0:0),LION:0022429
PE(17:0/0:0),LION:0022430
PE(17:1/0:0),LION:0022435
PE(17:2/0:0),LION:0022440
PE(19:0/0:0),LION:0022441
PE(19:1/0:0),LION:0022449
PE(19:2/0:0),LION:0022455
PE(19:3/0:0),LION:0022461
PE(21:0/0:0),LION:0022465
PE(21:1/0:0),LION:0022466
PE(21:2/0:0),LION:0022471
PE(21:3/0:0),LION:0022473
PE(21:4/0:0),LION:0022474
PE(23:0/0:0),LION:0022477
PE(23:1/0:0),LION:0022478
PE(23:2/0:0),LION:0022482
