name,LION
hexosylceramides,LION:0012017
dihexosylceramides,LION:0012018
d14:0,LION:0012031
d14:1,LION:0012032
d14:2,LION:0012033
t14:0,LION:0012034
t14:1,LION:0012051
t14:2,LION:0012052
m14:0,LION:0012053
m14:1,LION:0012070
m14:2,LION:0012071
d15:0,LION:0012072
d15:1,LION:0012073
d15:2,LION:0012089
t15:0,LION:0012090
t15:1,LION:0012104
t15:2,LION:0012120
m15:0,LION:0012121
m15:1,LION:0012122
m15:2,LION:0012123
d16:0,LION:0012124
d16:1,LION:0012125
d16:2,LION:0012149
t16:0,LION:0012150
t16:1,LION:0012151
t16:2,LION:0012152
m16:0,LION:0012153
m16:1,LION:0012154
m16:2,LION:0012180
d17:0,LION:0012182
d17:1,LION:0012183
d17:2,LION:0012184
t17:0,LION:0012185
t17:1,LION:0012186
t17:2,LION:0012212
m17:0,LION:0012213
m17:1,LION:0012214
m17:2,LION:0012215
d18:2,LION:0012216
t18:0,LION:0012217
t18:1,LION:0012218
t18:2,LION:0012243
m18:0,LION:0012244
m18:1,LION:0012245
m18:2,LION:0012246
d19:0,LION:0012247
d19:1,LION:0012268
d19:2,LION:0012269
t19:0,LION:0012270
t19:1,LION:0012300
t19:2,LION:0012301
m19:0,LION:0012302
m19:1,LION:0012303
m19:2,LION:0012304
d20:0,LION:0012305
d20:1,LION:0012306
d20:2,LION:0012307
t20:0,LION:0012308
t20:1,LION:0012337
t20:2,LION:0012339
m20:0,LION:0012341
m20:1,LION:0012342
m20:2,LION:0012344
d21:0,LION:0012345
d21:1,LION:0012346
d21:2,LION:0012347
t21:0,LION:0012348
t21:1,LION:0012384
t21:2,LION:0012387
m21:0,LION:0012389
m21:1,LION:0012390
m21:2,LION:0012391
d22:0,LION:0012393
d22:1,LION:0012394
d22:2,LION:0012395
t22:0,LION:0012396
t22:1,LION:0012397
t22:2,LION:0012398
m22:0,LION:0012437
m22:1,LION:0012438
m22:2,LION:0012440
N-acylsphingosines (ceramides) [SP0201],LION:0012441
N-acylsphinganines (dihydroceramides) [SP0202],LION:0012443
N-acyl-4-hydroxysphinganines (phytoceramides) [SP0203],LION:0012444
Acylceramides [SP0204],LION:0012445
Ceramide 1-phosphates [SP0205],LION:0012446
